title,genres
Letters from Iwo Jima,Action
Letters from Iwo Jima,Adventure
Letters from Iwo Jima,Drama
"Don't Worry, I'm Fine",Drama
The Host,Drama
The Host,Horror
The Host,Sci-Fi
Bridge to Terabithia,Drama
Bridge to Terabithia,Family
Bridge to Terabithia,Fantasy
Street Kings,Action
Street Kings,Crime
Street Kings,Thriller
Mr. Bean's Holiday,Comedy
Mr. Bean's Holiday,Family
300,Action
300,Drama
TMNT,Action
TMNT,Adventure
TMNT,Animation
The Dreamers,Drama
The Dreamers,Romance
3-Iron,Crime
3-Iron,Drama
3-Iron,Romance
"Torrente, the Dumb Arm of the Law",Comedy
"Torrente, the Dumb Arm of the Law",Crime
Torrente 2: Mission in Marbella,Action
Torrente 2: Mission in Marbella,Comedy
Torrente 2: Mission in Marbella,Crime
Torrente 3: El protector,Comedy
Torrente 3: El protector,Crime
Four Minutes,Drama
Four Minutes,Music
American Psycho,Crime
American Psycho,Drama
American Psycho,Horror
Frida,Biography
Frida,Drama
Frida,Romance
Sex and Lucía,Drama
Sex and Lucía,Romance
Monster's Ball,Drama
Monster's Ball,Romance
First Blood,Action
First Blood,Adventure
First Blood,Thriller
Rambo: First Blood Part II,Action
Rambo: First Blood Part II,Adventure
Rambo: First Blood Part II,Thriller
Rambo III,Action
Rambo III,Adventure
Rambo III,Thriller
Blood Diamond,Adventure
Blood Diamond,Drama
Blood Diamond,Thriller
The Pursuit of Happyness,Biography
The Pursuit of Happyness,Drama
"Sex, Lies, and Videotape",Drama
Pan's Labyrinth,Drama
Pan's Labyrinth,Fantasy
Pan's Labyrinth,War
Take My Eyes,Drama
Take My Eyes,Romance
The Departed,Crime
The Departed,Drama
The Departed,Thriller
Perfume: The Story of a Murderer,Crime
Perfume: The Story of a Murderer,Drama
Perfume: The Story of a Murderer,Fantasy
Once Upon a Time in Mexico,Action
Once Upon a Time in Mexico,Crime
Once Upon a Time in Mexico,Thriller
Little Children,Drama
Little Children,Romance
The Virgin Suicides,Drama
The Virgin Suicides,Romance
Hellboy,Action
Hellboy,Adventure
Hellboy,Fantasy
Miss Congeniality,Action
Miss Congeniality,Comedy
Miss Congeniality,Crime
Curse of the Golden Flower,Action
Curse of the Golden Flower,Drama
